title,listing_url,source_website,img_of_unit,days_ago_posted,post_updated,first_seen,last_seen,status,address,street_address,neighbourhood,city,province,price,bedrooms,bathrooms,square_feet,lot_size,property_type,post_description,move_in_date,security_deposit,min_rental_period,amenities,features,facilities,pet,appliances,parking,locker,smoking,agent_name,brokerage,listing_id,listing_hash,latitude,longitude,furnished,pets_allowed,utilities_included,description,is_active
"4XXX-3B W 28 AVENUE Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/4xxx-3b-w-28-avenue-vancouver-british-columbia/1738719110,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"W 28 AVENUE, Vancouver, BC, V6S1S7",W 28 AVENUE,Vancouver,Vancouver,BC,2500,2,1,N/A,N/A,House,Brand New 2-Bedroom Laneway House in Dunbar - Vancouver West. Welcome to this brand-main floor laneway home located in the highly desirable Dunbar neighborhood of Vancouver West Vancouver. Offering ...,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738719110,f0ecc6145d2cbc3b260c4e68d06e175b,N/A,N/A,N/A,N/A,N/A,N/A,1
"8XX 1338 HOMER STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/8xx-1338-homer-street-vancouver-british-columbia/1738717715,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1338 HOMER STREET, Vancouver, BC, V6B6A7",1338 HOMER STREET,Vancouver,Vancouver,BC,4300,2,2,N/A,N/A,Apartment,"Call or text Bria at 778-949-4499 to schedule a showing. Beautifully renovated 2 Bed + Den, 2 Bath condo at 1338 Homer Street in the heart of Yaletown. This bright 1,124 sq.ft. home offers ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738717715,5e5375eb9bf839bf5d45c7fc7b2187b8,N/A,N/A,N/A,N/A,N/A,N/A,1
"1602 668 CITADEL PARADE Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/1602-668-citadel-parade-vancouver-british-columbia/1738709330,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"668 CITADEL PARADE, Vancouver, BC, V6B1W6",668 CITADEL PARADE,Vancouver,Vancouver,BC,3800,2,2,N/A,N/A,House,"Welcome to this spacious corner suite at Spectrum Tower 2 by Concord Pacific, situated in the heart of Downtown Vancouver. Featuring floor-to-ceiling windows throughout, this home is flooded with ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738709330,5a773eef1c00c15ab2363817b49b11c1,N/A,N/A,N/A,N/A,N/A,N/A,1
"2402 838 W HASTINGS STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/2402-838-w-hastings-street-vancouver-british-columbia/1738709004,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"838 W HASTINGS STREET, Vancouver, BC, V6C0A9",838 W HASTINGS STREET,Hastings,Vancouver,BC,4300,2,2,N/A,N/A,Apartment,"Luxury unfurnished 2 bedroom, 2 bathroom condo at Jameson House in Downtown Vancouver´s Financial District. This approx. 920 square ft home features an efficient layout with balcony, radiant heating, ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738709004,403482c5f4b53726b09cdeed06399555,N/A,N/A,N/A,N/A,N/A,N/A,1
"2175 E 54 AVENUE Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/2175-e-54-avenue-vancouver-british-columbia/1738707555,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"E 54 AVENUE, Vancouver, BC, V5P1Y5",E 54 AVENUE,Vancouver,Vancouver,BC,3900,3,2,N/A,N/A,Apartment,"Newly renovated 3 bedroom upper level suite located near Victoria and 54th Ave East. (Address 3175 E54th Ave. when the Ad is active, the Unit is AVAILABLE no need to ask) Large and bright living ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738707555,ee5c6e43c44749459dba1b7e85190f49,N/A,N/A,N/A,N/A,N/A,N/A,1
"628X ELLIOTT ST Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/628x-elliott-st-vancouver-british-columbia/1738706756,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"ELLIOTT ST, Vancouver, BC, V5S2M4",ELLIOTT ST,Vancouver,Vancouver,BC,600,1,1,N/A,N/A,House,"**Looking for female roommate** East Vancouver ground level of a house, private bedrooms available in a shared living space. Furnished with Bed, Desk and Dressers. Total of 4 private bedrooms sharing ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738706756,3236fa9fd3514611f9aae451f8c0b8c0,N/A,N/A,N/A,N/A,N/A,N/A,1
"3xxx 5470 ORMIDALE STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/3xxx-5470-ormidale-street-vancouver-british-columbia/1738704860,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"5470 ORMIDALE STREET, Vancouver, BC, V6R0G6",5470 ORMIDALE STREET,Vancouver,Vancouver,BC,2100,1,1,N/A,N/A,Apartment,"Functional 1-bedroom, 1-bathroom condo with a flex room and den on the 31st floor of Wall Centre Central Park. This bright and modern unit features an open-concept layout with floor-to-ceiling ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738704860,1bd2bb9c8903467108731fb19c3d0841,N/A,N/A,N/A,N/A,N/A,N/A,1
Rosedale Gardens 1 BR APT Rental 203-888 Hamilton St Vancouver: ,https://www.kijiji.ca/v-apartments-condos/vancouver/rosedale-gardens-1-br-apt-rental-203-888-hamilton-st-vancouver:/1738354831,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"888 Hamilton Street, Vancouver, BC, V6B 5W4",888 Hamilton Street,Vancouver,Vancouver,BC,2950,1,1,821,N/A,Apartment,"Rosedale Gardens 1 BR APT Rental 203-888 Hamilton St Vancouver: VADA This one bedroom apartment at Rosedale Gardens has a huge private patio with lots of sun, expanding your living space and allowing ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1738354831,bab76ab512bd5541966acf1b89374747,N/A,N/A,N/A,N/A,N/A,N/A,1
Brava Studio Rental 1507-1155 Seymour St Vancouver: VADA,https://www.kijiji.ca/v-apartments-condos/vancouver/brava-studio-rental-1507-1155-seymour-st-vancouver:-vada/1735405616,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1155 Seymour Street, Vancouver, BC, V6B 1K2",1155 Seymour Street,Vancouver,Vancouver,BC,2100,Studio/Bachelor,1,485,N/A,Studio,Brava Studio Rental 1507-1155 Seymour St Vancouver: VADA This city view studio rental at Brava is neatly appointed with a built-in Murphy bed to optimize space. This building is in walking distance ...,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1735405616,ef295e3310b1ccf5edfa1bf7c6da4c60,N/A,N/A,N/A,N/A,N/A,N/A,1
Live in the Heart of Kitsilano,https://www.kijiji.ca/v-apartments-condos/vancouver/live-in-the-heart-of-kitsilano/1734736298,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"2341 York Avenue, Vancouver, BC, V6K 1C8",2341 York Avenue,Vancouver,Vancouver,BC,1395,Studio/Bachelor,1,133,N/A,Studio,"Live in the Heart of Kitsilano Located in the heart of Kitsilano, this fully renovated building offers unbeatable access to Vancouver’s west side lifestyle. Just steps from Kits Beach and Pool, and ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1734736298,aa8c27dad2fbbf61cd55628ae0461b5f,N/A,N/A,N/A,N/A,N/A,N/A,1
Live in the Heart of Kitsilano,https://www.kijiji.ca/v-apartments-condos/vancouver/live-in-the-heart-of-kitsilano/1734736289,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"2341 York Avenue, Vancouver, BC, V6K 1C8",2341 York Avenue,Vancouver,Vancouver,BC,1375,Studio/Bachelor,1,257,N/A,Studio,"Live in the Heart of Kitsilano Located in the heart of Kitsilano, this fully renovated building offers unbeatable access to Vancouver’s west side lifestyle. Just steps from Kits Beach and Pool, and ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1734736289,a297aa7431da632e1864f5128e63502c,N/A,N/A,N/A,N/A,N/A,N/A,1
Live in the Heart of Kitsilano,https://www.kijiji.ca/v-apartments-condos/vancouver/live-in-the-heart-of-kitsilano/1734735741,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"2341 York Avenue, Vancouver, BC, V6K 1C8",2341 York Avenue,Vancouver,Vancouver,BC,1495,Studio/Bachelor,1,115,N/A,Studio,"Live in the Heart of Kitsilano Located in the heart of Kitsilano, this fully renovated building offers unbeatable access to Vancouver’s west side lifestyle. Just steps from Kits Beach and Pool, and ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1734735741,9bdf23d6055b44431fb9965211f51d9b,N/A,N/A,N/A,N/A,N/A,N/A,1
Townhouse *Special Offer Available*,https://www.kijiji.ca/v-apartments-condos/vancouver/townhouse-special-offer-available/1734735257,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"2139 Lahb Ave., Vancouver, BC, V6J 4R1",2139 Lahb Ave.,Vancouver,Vancouver,BC,5390,2.5,2.5,1340,N/A,House,"Townhouse *Special Offer Available* Spring Move-in Special Up to 3 Months Free Rent on Select Suites Sign new lease by June 30, 2026 to unlock these savings* *Limited time offer. Subject to specific ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1734735257,bf15cd4a1bb3f99d0486d73ede74a331,N/A,N/A,N/A,N/A,N/A,N/A,1
Studio - Special Offer Available,https://www.kijiji.ca/v-apartments-condos/vancouver/studio-special-offer-available/1734735255,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"2139 Lahb Ave., Vancouver, BC, V6J 4R1",2139 Lahb Ave.,Vancouver,Vancouver,BC,2600,Studio/Bachelor,1,455,N/A,Basement Suite,"Studio - Special Offer Available Spring Move-in Special Up to 3 Months Free Rent on Select Suites Sign new lease by June 30, 2026 to unlock these savings* *Limited time offer. Subject to specific ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1734735255,7b7d547e6fefef2d36caf1f2578a007b,N/A,N/A,N/A,N/A,N/A,N/A,1
2 BR Basement Suite Rental 2-4841 Dumfries St Vancouver: VADA,https://www.kijiji.ca/v-apartments-condos/vancouver/2-br-basement-suite-rental-2-4841-dumfries-st-vancouver:-vada/1737977797,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"4841 Dumfries Street, Vancouver, BC, V5N 3T8",4841 Dumfries Street,Vancouver,Vancouver,BC,2250,2,2,927,N/A,Basement Suite,"2 BR Basement Suite Rental 2-4841 Dumfries St Vancouver: VADA Located in the heart of the Kensington-Cedar Cottage, this unfurnished basement suite offers a spacious and functional layout ideal for a ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1737977797,222ee9012000b1e2214bb4d0de17fc07,N/A,N/A,N/A,N/A,N/A,N/A,1
Spacious 1bd/1ba at Broadway &amp; Alma,https://www.kijiji.ca/v-apartments-condos/vancouver/spacious-1bd-1ba-at-broadway-alma/1734736082,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"3575 West Broadway, Vancouver, BC, V6R 1Y7",3575 West Broadway,Vancouver,Vancouver,BC,2450,1,1,660,N/A,N/A,Spacious 1bd/1ba at Broadway &amp; Alma POINT GREY MANOR | 3525 &amp; 3575 WEST BROADWAY Point Grey Manor enjoys a convenient location near the intersection of West Broadway and Alma Street. This ...,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1734736082,79e285d83adcc12514e4168b32e23d88,N/A,N/A,N/A,N/A,N/A,N/A,1
2.5 BR *Special Offer Available*,https://www.kijiji.ca/v-apartments-condos/vancouver/2-5-br-special-offer-available/1734735150,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"2139 Lahb Ave., Vancouver, BC, V6J 4R1",2139 Lahb Ave.,Vancouver,Vancouver,BC,4250,2.5,2,1070,N/A,Basement Suite,"2.5 BR *Special Offer Available* Spring Move-in Special Up to 3 Months Free Rent on Select Suites Sign new lease by June 30, 2026 to unlock these savings* *Limited time offer. Subject to specific ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1734735150,ce59a0c423b5a55f83f243c290992bdb,N/A,N/A,N/A,N/A,N/A,N/A,1
1.5BR *Special Offer Available*,https://www.kijiji.ca/v-apartments-condos/vancouver/1-5br-special-offer-available/1734735252,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"2139 Lahb Ave., Vancouver, BC, V6J 4R1",2139 Lahb Ave.,Vancouver,Vancouver,BC,3495,1.5,1,835,N/A,Basement Suite,"1.5BR *Special Offer Available* Spring Move-in Special Up to 3 Months Free Rent on Select Suites Sign new lease by June 30, 2026 to unlock these savings* *Limited time offer. Subject to specific ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1734735252,92e1d58ff99c84c68528f9591d2e8451,N/A,N/A,N/A,N/A,N/A,N/A,1
3.5BR *Special Offer Available*,https://www.kijiji.ca/v-apartments-condos/vancouver/3-5br-special-offer-available/1734735253,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"2139 Lahb Ave., Vancouver, BC, V6J 4R1",2139 Lahb Ave.,Vancouver,Vancouver,BC,5070,3.5,2,1290,N/A,Basement Suite,"3.5BR *Special Offer Available* Spring Move-in Special Up to 3 Months Free Rent on Select Suites Sign new lease by June 30, 2026 to unlock these savings* *Limited time offer. Subject to specific ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1734735253,c373bbcd400c89e56cdf249d1ad59fe4,N/A,N/A,N/A,N/A,N/A,N/A,1
3 Bedroom Special Offer,https://www.kijiji.ca/v-apartments-condos/vancouver/3-bedroom-special-offer/1734735264,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"5455 Balsam Street, Vancouver, BC, V6M 4B3",5455 Balsam Street,Vancouver,Vancouver,BC,5100,3,2,1403,N/A,Basement Suite,"3 Bedroom Special Offer Spring Move-in Special Up to 3 Months Free Rent on Select Suites Sign new lease by June 30, 2026 to unlock these savings* *Limited time offer. Subject to specific terms and ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1734735264,092aa6f658ab229a7541617be92a1a9b,N/A,N/A,N/A,N/A,N/A,N/A,1
*Special Offer Available* Spacious 2-BR in Kerrisdale,https://www.kijiji.ca/v-apartments-condos/vancouver/special-offer-available-spacious-2-br-in-kerrisdale/1734735162,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"5455 Balsam Street, Vancouver, BC, V6M 4B3",5455 Balsam Street,Vancouver,Vancouver,BC,4050,2,2,1080,N/A,Basement Suite,"*Special Offer Available* Spacious 2-BR in Kerrisdale Spring Move-in Special Up to 3 Months Free Rent on Select Suites Sign new lease by June 30, 2026 to unlock these savings* *Limited time offer. ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1734735162,f06f44dcb07604ac3b8a94dc5b97c901,N/A,N/A,N/A,N/A,N/A,N/A,1
*Special Offer Available* Upgraded 1-BR in Kerrisdale,https://www.kijiji.ca/v-apartments-condos/vancouver/special-offer-available-upgraded-1-br-in-kerrisdale/1734735276,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"5455 Balsam Street, Vancouver, BC, V6M 4B3",5455 Balsam Street,Vancouver,Vancouver,BC,2760,1,1,843,N/A,Basement Suite,"*Special Offer Available* Upgraded 1-BR in Kerrisdale Spring Move-in Special Up to 3 Months Free Rent on Select Suites Sign new lease by June 30, 2026 to unlock these savings* *Limited time offer. ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1734735276,58f858448a7b7f376d089ef9fa6a73b4,N/A,N/A,N/A,N/A,N/A,N/A,1
1 Bedroom Loft Apartment,https://www.kijiji.ca/v-apartments-condos/vancouver/1-bedroom-loft-apartment/1734735370,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"951 Charland Avenue, Coquitlam, BC, V3K 3K7",951 Charland Avenue,Coquitlam,Vancouver,BC,1850,1,1,533,N/A,Apartment,1 Bedroom Loft Apartment Residences at The Heights is a modern purpose built market rental building in the Austin Heights area of Coquitlam completed in 2020. This spectacular property has been ...,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1734735370,4611d0c76072de934d5c54cb1994ac27,N/A,N/A,N/A,N/A,N/A,N/A,1
607-168 Powell Street,https://www.kijiji.ca/v-apartments-condos/vancouver/607-168-powell-street/1737240145,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"168 Powell Street, Vancouver, BC, V6A 0B2",168 Powell Street,Vancouver,Vancouver,BC,2200,1,1,625,N/A,N/A,"607-168 Powell Street Welcome to Smart! Located at 168 Powell Street in Vancouver’s historic Gastown, Smart is a contemporary 9-storey residence developed by Concord Pacific and completed in 2009. ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1737240145,41745f4b9d2f0eacf79033be95ac08de,N/A,N/A,N/A,N/A,N/A,N/A,1
Nova 2 BR APT Rental 2103-989 Beatty St Vancouver: VADA,https://www.kijiji.ca/v-apartments-condos/vancouver/nova-2-br-apt-rental-2103-989-beatty-st-vancouver:-vada/1737977802,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"989 Beatty Street, Vancouver, BC, V6Z 3C5",989 Beatty Street,Vancouver,Vancouver,BC,4100,2,2,1285,N/A,Apartment,Nova 2 BR APT Rental 2103-989 Beatty St Vancouver: VADA This spacious two bedroom apartment rental is located in Bosa&apos;s premium Nova building! This beautiful 2 bedroom rental features sweeping views ...,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1737977802,4cf6d5e4c2d14103498298a2e5f6726a,N/A,N/A,N/A,N/A,N/A,N/A,1
Woodwards 1 BR APT Rental 2102-108 West Cordova St Vancouver: VA,https://www.kijiji.ca/v-apartments-condos/vancouver/woodwards-1-br-apt-rental-2102-108-west-cordova-st-vancouver:-va/1737977800,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"108 West Cordova Street, Vancouver, BC, V6B 0G6",108 West Cordova Street,Vancouver,Vancouver,BC,2350,1,1,630,N/A,Apartment,"Woodwards 1 BR APT Rental 2102-108 West Cordova St Vancouver: VADA Welcome home to Woodward’s W32, a landmark heritage redevelopment in the heart of Gastown, where modern design pays homage to the ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1737977800,d3f34458ca78dc1f0a6f745d72e1cc89,N/A,N/A,N/A,N/A,N/A,N/A,1
Gertie&apos;s House,https://www.kijiji.ca/v-apartments-condos/vancouver/gerties-house/1734735417,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1539 Comox Street, Vancouver, BC, V6G 1P3",1539 Comox Street,Vancouver,Vancouver,BC,2350,2,1,500,N/A,Apartment,"Gertie&apos;s House Location: The West End is a vibrant and thriving community. Adjacent to downtown Vancouver these homes are on quiet tree lined streets, schools only a few steps away, transit and parks ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1734735417,ad85f42db268fa7a5e949c6e2c83d4c3,N/A,N/A,N/A,N/A,N/A,N/A,1
Gertie&apos;s House,https://www.kijiji.ca/v-apartments-condos/vancouver/gerties-house/1734735266,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1539 Comox Street, Vancouver, BC, V6G 1P3",1539 Comox Street,Vancouver,Vancouver,BC,2325,2,1,500,N/A,Apartment,"Gertie&apos;s House Location: The West End is a vibrant and thriving community. Adjacent to downtown Vancouver these homes are on quiet tree lined streets, schools only a few steps away, transit and parks ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1734735266,83e2b2abe7c6b582da8bf5fbf9c465d4,N/A,N/A,N/A,N/A,N/A,N/A,1
*Special Offer Available* Beautiful 2-BR Home in North Vancouver,https://www.kijiji.ca/v-apartments-condos/vancouver/special-offer-available-beautiful-2-br-home-in-north-vancouver/1734735433,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1711 Lions Gate Lane, North Vancouver, BC, V7P 0E3",1711 Lions Gate Lane,North Vancouver,Vancouver,BC,3600,2,2,810,N/A,House,"*Special Offer Available* Beautiful 2-BR Home in North Vancouver! Spring Move-in Special Up to 3 Months Free Rent on Select Suites Sign new lease by June 30, 2026 to unlock these savings* *Limited ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1734735433,2e6719e25eef4c9845cecfb9328f23f0,N/A,N/A,N/A,N/A,N/A,N/A,1
*Special Offer Available* Roomy Studio in North Vancouver!,https://www.kijiji.ca/v-apartments-condos/vancouver/special-offer-available-roomy-studio-in-north-vancouver/1734735435,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1711 Lions Gate Lane, North Vancouver, BC, V7P 0E3",1711 Lions Gate Lane,North Vancouver,Vancouver,BC,2505,Studio/Bachelor,1,501,N/A,Basement Suite,"*Special Offer Available* Roomy Studio in North Vancouver! Spring Move-in Special Up to 3 Months Free Rent on Select Suites Sign new lease by June 30, 2026 to unlock these savings* *Limited time ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1734735435,ad448750adf245e88be5527b344a965f,N/A,N/A,N/A,N/A,N/A,N/A,1
*Special Offer Available* 2-BR Townhome in North Van,https://www.kijiji.ca/v-apartments-condos/vancouver/special-offer-available-2-br-townhome-in-north-van/1734735415,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1711 Lions Gate Lane, North Vancouver, BC, V7P 0E3",1711 Lions Gate Lane,North Vancouver,Vancouver,BC,4320,2,2.5,982,N/A,House,"*Special Offer Available* 2-BR Townhome in North Van Spring Move-in Special Up to 3 Months Free Rent on Select Suites Sign new lease by June 30, 2026 to unlock these savings* *Limited time offer. ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1734735415,d85bb72f107d02927d686ddd86d198ad,N/A,N/A,N/A,N/A,N/A,N/A,1
*Special Offer Available* 1-BR Home in North Van,https://www.kijiji.ca/v-apartments-condos/vancouver/special-offer-available-1-br-home-in-north-van/1734735263,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1711 Lions Gate Lane, North Vancouver, BC, V7P 0E3",1711 Lions Gate Lane,North Vancouver,Vancouver,BC,2725,1,1,556,N/A,House,"*Special Offer Available* 1-BR Home in North Van Spring Move-in Special Up to 3 Months Free Rent on Select Suites Sign new lease by June 30, 2026 to unlock these savings* *Limited time offer. Subject ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1734735263,de3c37e344f73f2620094e999d4cef11,N/A,N/A,N/A,N/A,N/A,N/A,1
*Special Offer Available* 2 Bed + Den Home in North Van,https://www.kijiji.ca/v-apartments-condos/vancouver/special-offer-available-2-bed-den-home-in-north-van/1734735412,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1711 Lions Gate Lane, North Vancouver, BC, V7P 0E3",1711 Lions Gate Lane,North Vancouver,Vancouver,BC,3890,2.5,2,906,N/A,House,"*Special Offer Available* 2 Bed + Den Home in North Van Spring Move-in Special Up to 3 Months Free Rent on Select Suites Sign new lease by June 30, 2026 to unlock these savings* *Limited time offer. ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1734735412,9938ff0096987dcbe6532917698c07f8,N/A,N/A,N/A,N/A,N/A,N/A,1
1504-928 Homer Street,https://www.kijiji.ca/v-apartments-condos/vancouver/1504-928-homer-street/1734736359,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"928 Homer Street, Vancouver, BC, V6B 1T7",928 Homer Street,Vancouver,Vancouver,BC,2450,1,1,557,N/A,House,"1504-928 Homer Street Welcome to Yaletown Park! Located at 928 Homer Street, 909 Mainland Street, and 977 Mainland Street in Vancouver’s vibrant Yaletown, Yaletown Park is a trio of stylish high-rise ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1734736359,b2c805783d79dfe83ed59c6ea2e5283d,N/A,N/A,N/A,N/A,N/A,N/A,1
Renovated 1br/1ba in Kitsilano,https://www.kijiji.ca/v-apartments-condos/vancouver/renovated-1br-1ba-in-kitsilano/1734736069,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"2425 West 4th Avenue, Vancouver, BC, V6K 1P4",2425 West 4th Avenue,Vancouver,Vancouver,BC,2500,1,1,638,N/A,Apartment,"Renovated 1br/1ba in Kitsilano KITS COURT APARTMENTS | 2425 &amp; 2475 WEST 4TH AVENUE Kits Court sits along West 4th Avenue in Vancouver’s vibrant Westside. Surrounded by cafés, restaurants, local ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1734736069,b668f142bac89984d4bc1c4fbf685584,N/A,N/A,N/A,N/A,N/A,N/A,1
South Vancouver 3 BR Garden Suite Rental 2-1920 Nassau Dr Vancou,https://www.kijiji.ca/v-apartments-condos/vancouver/south-vancouver-3-br-garden-suite-rental-2-1920-nassau-dr-vancou/1737977795,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1920 Nassau Drive, Vancouver, BC, V5P 2B6",1920 Nassau Drive,Vancouver,Vancouver,BC,2375,3,1,1200,N/A,Basement Suite,"South Vancouver 3 BR Garden Suite Rental 2-1920 Nassau Dr Vancouver: VADA This bright, recently renovated 3-bedroom plus den garden-level suite in South Vancouver offers 1,200 sq. ft. of comfortable, ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1737977795,3111280f0a32f66c0847b78821e6314a,N/A,N/A,N/A,N/A,N/A,N/A,1
